tier,score,client,sector_guess,source_name,source_domain,published_at,title,url,summary,topics,why_it_matters
DISCARDED,0,Portsmouth Water,Water,Google News: Portsmouth Water,news.google.com,2026-09-14T13:26:00+00:00,Water company celebrates success of environmental projects in Portsmouth - portsmouth.co.uk,https://news.google.com/rss/articles/CBMixwFBVV95cUxPSHBfb0JUdWIzbUp0YlduYW1CSEpFaC1xekt1bl90MWllUFN6RTRYX1pOeWhQQmVSZkZXZy1xalZ1R19fUFNPbTFHTUdpT0RTME1RZ25hRU9teVBubGo2bDNfRUREcEdfUmZkdG14SHVzcGZ2OXJOeTNXcTRSNFdRYTdHWE5ITU9zZU5XV3FoR0ptSUdDTzhIWUN1YjR0QTBhRWlISlUxZ3pHSmNTYUI5cWJPZ2hZRzFIdERwTXEwM2d0S2tjYWZ3?oc=5,Water company celebrates success of environmental projects in Portsmouth portsmouth.co.uk,,
MENTIONED,10,SSEN,Electricity,Google News: SSEN,news.google.com,2026-09-21T06:44:26+00:00,Springfield signs main works agreement with SSEN Transmission - Scottish Housing News,https://news.google.com/rss/articles/CBMiqgFBVV95cUxNSUFZR2NLZXpscjV2aE1lVXV6bnBxNDZ5LWl3YVdfaVlTaTVheVBmaGk5Nk9jNzdvbDJRaXJwdmhpX1pZWHVhMXc1Z0d2Uk9iTG5rWjZNQldtUjFVd0REUW9HZUhpTWJxLTVNV3lyQWVzYTVSNmc5SDVOSDhjQW9QcWFtZVZUTHpuOV9Nc01FUE03ckR1U01hYVgxcEVjOGlWWXFzZDZNXzdNdw?oc=5,Springfield signs main works agreement with SSEN Transmission Scottish Housing News,media_and_events,
MENTIONED,10,Informa,Media,Google News: Informa,news.google.com,2026-09-14T14:21:55+00:00,"Informa CMO Jill Dougan on AI, Data and the Future of Event Marketing - Trade Show News Network",https://news.google.com/rss/articles/CBMitgFBVV95cUxOdDVEWWdyX1o5eHRnQjdCR2FqNkRCeEs3Zm5SdEgxdjdCQ1R4QndGc3ViTjVNT0NkSUtTZ2ZJOXg4Y3ZEUmN2aXhWRkhPQndLNVZnQTFjS0VZRWItb3J1bzAycnFwbnRIeFI0NG5hTU1YaEsyVTEzcE9SMXJxU0pQMDJDSkE2NkRqZDVyRk1SV3hMQU1ETHFsRDVoQzlqdHVpUUtfWWdPZ3FtY0FnSHNaS3BQSmNPUQ?oc=5,"Informa CMO Jill Dougan on AI, Data and the Future of Event Marketing Trade Show News Network",media_and_events,
MENTIONED,9,Wessex Water | Bristol Water,Water,Google News: Wessex Water,news.google.com,2026-09-19T23:20:51+00:00,Wessex Water and Bristol Water to hold drop-in session at Burnham-On-Sea Library - burnham-on-sea.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNclo2UmFPVFZtaUQtdk9vTWxVMVVYanVUcGtvTDQtaEZ0NXA3d21FeXlBSjQ3Ukk1TW9ZVUhaaVBuZDZ5LUVyR2xfXzJmZlc2LW9qTWJVaHNQNGZJUm1naUFnSFBhU19UWEhXUGlEaFVZOEpwWUZKTEF6S20wa2ZHZDNPN053XzlfVWx6NXBqamNUUFc4VHVGQWwxWU96YjQ0TUVfQzBHbTNJM2s0RVZnMkxOR3BCNGRl?oc=5,Wessex Water and Bristol Water to hold drop-in session at Burnham-On-Sea Library burnham-on-sea.com,,
MENTIONED,8,Severn Trent,Water,Google News: Severn Trent,news.google.com,2026-09-15T07:08:00+00:00,"Barhale finds savings, wins Severn Trent contract - Construction Index",https://news.google.com/rss/articles/CBMingFBVV95cUxNalUzcGhveU1ER1pXYnppbXhEaGhyN1hRaUVQRDFnb1k0WmFFZlhjWERHdGZJVG92TExnci10VWQ5MGdtbkxZTmFxeVRpb2FJTVNoaGs5dTRmRXh3MzlJSEEzUGU4QjU5QTBZQkdVVC1WdjlLVDA1bHVic1lPNDA4T0V0ZWhaZ2NHMFh4LV83U0RGSUY2R1hKeVlpMVZEQdIBpgFBVV95cUxNczN0dU94aUhybU00ZDljNGxIWDBQaWdLYnZYMlptM1BFTmVTR1lyRXNmdHBVQmpBOXg2NFNkSlplcUtGeGNWTkxsSDhDdmF1RVU3MndRdTJKWDhaU2ZrY051TzVMQXUwOXhCZDItMUd6NDU3cDF1YlBUV3hRVXNWNHdLaFNfRHZNZF9qYmtPN0JrQUhodVVLVVhqb0RrMldiRVdEOVl3?oc=5,"Barhale finds savings, wins Severn Trent contract Construction Index",,+1 other outlet covered this
MENTIONED,8,Yorkshire Water,Water,Google News: Yorkshire Water,news.google.com,2026-09-19T08:06:17+00:00,Yorkshire Water Seeks Views On Multimillion-Pound Scarborough Investment - This is the Coast,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQMUJEM0czTlZlWUgwVklSa1BXbklJRElUZVNBMzNsWGlvQndyckFsSTlqN0lEOUloMmYzZDdjMWtRRHpMcENPS1ZfNkFOcFZiMXBJaGNnZGtScDRKY1Rkd0tMT1VxMFYwR19GVXFFa1lYeTc0eE12S21OX3BqX3gzaXFFb1ZfNUVSR1k4OFZCYmo1MW1tMll1a3ZlUXJpNVJfYVdVa0lsbWZINERLYklDNF9QcWJ3SC1Yd09SRGNLYWk3QkhBTjFPUXIzWkVvaDV3U0JnZWZTY0dmczRtV094amhKdUhFQQ?oc=5,Yorkshire Water Seeks Views On Multimillion-Pound Scarborough Investment This is the Coast,,
MENTIONED,8,Yorkshire Water,Water,Google News: Yorkshire Water,news.google.com,2026-09-18T08:41:25+00:00,Yorkshire Water Issues Urgent Safety Warning As Summer Holidays Begin - This is the Coast,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQemlYQ2Y0YzcyTlItb0t0Y2V2eGZkOFd2U2lYakdSOU1rS3hVY3dFb1pZemFMRDJvd3VOVm1uZzgyeVBpVEpQNmlZWTZSZDZSbWRwNDNmN0JMdzdrcjJaTWJGenhjLWpOcHQ2V0huRXdMRWl1SlhJdzQxa2ZxNm1fXzNWend6NkU4VjlNU3FGZ1NBUGZaaEduMkJ0b2RFXzdFeFVqRUoxSlg3UndPVDRvTDNVZldvTnRTanhrMUx3bEpFNjdsRjF0VHpfNkVSVnFUMWEySGU5Vy1VZ2FLeHJRM1hB?oc=5,Yorkshire Water Issues Urgent Safety Warning As Summer Holidays Begin This is the Coast,,
MENTIONED,8,Yorkshire Water,Water,Google News: Yorkshire Water,news.google.com,2026-09-18T11:02:24+00:00,Yorkshire Water Under Fire for Above-Inflation Price Increase - This is the Coast,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNeFJkaG9QMEtldUxVZmpiRnhHS1RCT0RIamV2a1hRWVlWZUY2RW9vMkVNUmdfUHZfaWFtcG9KWGZjYzNVaVdlcXhTTHZBeVIzSGZlWDdaY1RiQUtWSHZtWmpaUnQ1SER5LU1WLUV0eHZPZ3RMOFI3cEYzWU9UaXZYdkg2a19JcF9rcFNZbzdURTZ6VmFRX2FNVk9CaWM4T1NiZVJ0Rlh1WWg4V0ZaZVVXMzZUMXhtRDItMXhoTnVxOUJIQmRSNjhMUVpGaXBhX3dJQ0tTMThoMA?oc=5,Yorkshire Water Under Fire for Above-Inflation Price Increase This is the Coast,,
MENTIONED,8,Yorkshire Water,Water,Google News: Yorkshire Water,news.google.com,2026-09-18T00:01:50+00:00,Yorkshire Water Reservoirs In Healthy Position Ahead Of Warm Bank Holiday Weekend - This is the Coast,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQek5LV3A3N21ZTTR5bjRFWTQ5NFBTcjQ5RVg0RzFJV2dwcE95Vy13dHlRR1VYa0lFSk9Id2NUYTVnYm9zNkF1WllfZzF0T0Q3SURPS1lFUXhZcWhWaExLSW5RMFp4WmdRV2NUaGxNY0p5eEMtZURTWlhJR01YUi14aXQ2WmRXWEFYck9yM3BKZFdQWU5WOEtyMEw5ZC1fR3Z1RHJOUEhvZm1qX285SW9DdUZYOXdsd3FhYnN4d1JfQUVHU1pjR1YzTDNGWlg2bHJ1ZXFOMlFiWjdfWVFoSzgwa2x3aVR5S2FXa19KcjFMdHNBUQ?oc=5,Yorkshire Water Reservoirs In Healthy Position Ahead Of Warm Bank Holiday Weekend This is the Coast,,
MENTIONED,8,Ofgem,Regulator,Google News: Ofgem,news.google.com,2026-09-17T10:19:33+00:00,Ofgem moves to free up grid capacity by tackling excess battery projects - Trending Now Sustainable Construction,https://news.google.com/rss/articles/CBMixwJBVV95cUxON2xDUEpYS3BXXzN0cExDa1JQNUgyVDUtMVlJOHhwVGtPNl9QRnZhOGZyV01YcmRXVnZ6azdLQnpUUVVPamx3Ui0xRVI5Z2dLWjJyM1V5UkZMOWZFQ0RXZVNTU2xSX09CVnB2WVBBWWZhbjREWDNZVURibUd1Z0ZabU9GM2dHYjVKN0VFNjRZWHFJVF9qckZBaUlfeklVa3NpLTNGRTVRaFdObTBGazZpWDVHTDRPUjh0NUM4SFd6WlBOZXg3WFpsZVNpNHQ0dTJTUU5qQTZuS1RJbG84X3hnNU1jeVJJTmNXTkREOFBLbzA5RFFROVhDVm5SVDczRXZhZlJVTjZUcmNYcGxaWjkzLW4xRW1kRk9JU2pKSkh2SzNHNkNBZGlDTlZpNFdQNVBkQWtlaS0tRy1BOHMzc3FrbU5fcm5nSFk?oc=5,Ofgem moves to free up grid capacity by tackling excess battery projects Trending Now Sustainable Construction,,+2 other outlets covered this
