tier,score,client,sector_guess,source_name,source_domain,published_at,title,url,summary,topics,why_it_matters
MENTIONED,10,Informa,Media,Google News: Informa,news.google.com,2026-05-28T02:00:00+00:00,HKTB Partners with Global Leading Trade Exhibition Organiser Informa | - Business Post Nigeria,https://news.google.com/rss/articles/CBMizAJBVV95cUxNdF92akphelQzTXdZdkJiMi1uWkF1YUJKNUE1YVljWk9kbWlPbDRob0xaZTNpT0J6U2hHSUZGYWFTbkVOTmVzUUdfRVhjampJV29QMkE2Tm9mNUtULTZ4UFhmLTRYVDB5eV9FRUl1UUdlOGhxY0haZDI3SUtZbjNxRzNmVTY1S1JkUWpGQl84d1lJbGJDckJhMXhfdHVTUFN3Zzc1VnhJbWxNWG53bXN3X1VxV1VPX21uUWpLdDczQ0p3WHV0ZW9aSVliMGtiOEllemdSWmVZai1ZRVBKc2JHS3FjRnpXWUk0amxsTFhUMWtmRzRKaWtESjliVm5rcWFuaFVXbEpBQmZtNlE0UXBQSmlxQ3dRdm1RQkJGS0dGdTRsRGtGU2RSOWpIcHV4c3lvT2VvTW5WWDNCUUljbmFxQmI5ZkdlU0ptdVhydw?oc=5,HKTB Partners with Global Leading Trade Exhibition Organiser Informa | Business Post Nigeria,media_and_events,
MENTIONED,9,United Utilities | Ofwat,Water,Google News: United Utilities,news.google.com,2026-05-29T05:00:38+00:00,United Utilities is a double winner in Ofwat’s Water Breakthrough Challenge - Water Magazine,https://news.google.com/rss/articles/CBMiugFBVV95cUxObVpJNHhxNkpkR1BPOFhpd0hMRlc2YWZfT3BKdnJta1lfVmxzR3lqR3NTZEQ3Y2w1dWgzSnFLMnBiTjN4cGRMODQwWnB0Ykh2aGdBdXlYMXIxaXNhTFpZcVMwWDd4U0pOSmpBdTBNbHlpdk50M2JSajlkcVRhRC1fcldEb1FfaS1mT25GNDNobUh1eVBkcWlsRGVfeEpuRGpSYi1leHFlTGJodnJCUTFMbm45SnNEUWE0X3c?oc=5,United Utilities is a double winner in Ofwat’s Water Breakthrough Challenge Water Magazine,,
MENTIONED,9,Virgin Media O2,Telecoms,Google News: Virgin Media O2,news.google.com,2026-05-28T08:38:35+00:00,Virgin TV customers can enjoy brand-new comedy and game show streaming channels at no extra cost - Virgin Media O2,https://news.google.com/rss/articles/CBMiygFBVV95cUxQM2d5dU1ZTHMwR29MYkx4QndyMEJjRWRtVEdwb2RVY2NKNTl6RUpIMDJSVGh2OVFCZXp3dXJDUEU0bEtlT21pZGtlRDNjVXVTbXFxN2ZUQ19ablpDdzlJY0hGbE1GME1qV2VjeU5DbTlMVjVzMXo4TmVoNVM2NXZRSExVWVM3aXJqZm1hQXhqOUdjbXBxRk5QWnBtZVM5MFY3WlBhMGlIWmF4UlRGdm1kMVA0cENWaEZSRl9NTlF4eEowOS1OUnNQR1VB?oc=5,Virgin TV customers can enjoy brand-new comedy and game show streaming channels at no extra cost Virgin Media O2,media_and_events,
MENTIONED,8,Thames Water,Water,Google News: Thames Water,news.google.com,2026-05-30T04:00:00+00:00,Thames Water records 'historic' water usage during heatwave - This Is Oxfordshire,https://news.google.com/rss/articles/CBMiowFBVV95cUxOU2VHZTBrMEd1V1pUQU9qR2Y3M0lkejdhRlFwWnRvVThvTDhRcjd4YUZNZ3JQNG5MM3M0NGxiN3hsVlBsMjlRV2pKd1BQZnhld2dITUZHVlEyaGtVcllkVHo2R08tVjZYbmhiMlR4aG45allXdnF4XzNQN3NsaG1rTkQtcFlJMGJWX3ZZYlZvb1BvNE8zdXJrLVE5T1NDb09iVXRn?oc=5,Thames Water records 'historic' water usage during heatwave This Is Oxfordshire,,+2 other outlets covered this
MENTIONED,8,National Grid,Electricity,Google News: National Grid,news.google.com,2026-05-26T14:43:00+00:00,Could soaring temperatures be bad news for the National Grid dividend? - Yahoo Finance UK,https://news.google.com/rss/articles/CBMijAFBVV95cUxObFM2UnB6aG1DM3V5WEdxQXJiYUlGS3hTNHVEZm9tXzFpR1VTZjZ4c2hfeGhLak5xNm05S1oybWdRTDdiUkZFQ3g0TmRVVWFsbkRtcWNZM2xqa1RHbTdHeGVBR2praDgxTTFScWdGVWoyeXpWSEo1LWZScjZkeV95bXlzajVscXJrcHR0QQ?oc=5,Could soaring temperatures be bad news for the National Grid dividend? Yahoo Finance UK,,
MENTIONED,8,UK Power Networks,Electricity,Google News: UK Power Networks,news.google.com,2026-05-26T13:35:00+00:00,UK Power Networks developing hydrogen SHARED backup system - Quantum Commodity Intelligence,https://news.google.com/rss/articles/CBMirwFBVV95cUxNQnZaZkRoajQ1UUtmcHk3S3N2MkZWRHlmWmVWNzJPR3dhY2x4SHhRSGNld2F1NVZiTk9fOXRaRHAyTGlQMXdQUUpCbTZLT2NDc195UGd3UTNUb25uWjZTNVNVZXR3M1VpYjQ2aFR4OUxUYlNDRjl5VnRaMVpvVzBWcmtrdkV4eUxHVnhaVzRWY25nTThSVmhud3V2amVDdXFhRW9zZzBJVWVCQmtpU0RN?oc=5,UK Power Networks developing hydrogen SHARED backup system Quantum Commodity Intelligence,,
MENTIONED,8,Ofwat,Regulator,Google News: Ofwat,news.google.com,2026-05-29T13:14:37+00:00,"Ofwat challenge returns, plus setting up conference sessions - Research Professional News",https://news.google.com/rss/articles/CBMi2gFBVV95cUxPTkludHl3OWZ4WUJjbmJWY3JlaU5IOGhaT29uaklrYWgzYzEyRHlwcWRBN3FaZGI1OU1BM1RaZnFtZUx1eFZYYWRCU2xiQTRRcFdvM1Q2WWZNQ1VSb2hCLVhjMG5idklUZTk3ZjBVSGNPT2hkS0lQcUdTVTV2cXRCZzE0NEJydV8zS2xJdUo1U1puNXJkRUJiN2dWbmJaN2VoV0t5bFc1Wnd2MldMUGhVLW4wNDBUYWY4YUMxTEZCWWNzU1h3czBFSlpZUEQ5QjNVay1LLWRGcF8xQQ?oc=5,"Ofwat challenge returns, plus setting up conference sessions Research Professional News",,
MENTIONED,8,Ofgem,Regulator,Google News: Ofgem,news.google.com,2026-05-27T07:18:16+00:00,Ofgem confirms bill up by 13% - Energy Live News,https://news.google.com/rss/articles/CBMie0FVX3lxTE1Ja0RpNkVadDdsSkpOVnFlRXphbi03REJET1ZzZU5qVGVleUM4TjF1bmROaldEXzBlVWZDT2ozUXlYcDJCLUNQR2QzN21RRmhuTmtYRWN5Q05jNGlMQ3JRUmRRWTF0eGZlUnRlY1FUVVd1dFNwSDc1X3hfNA?oc=5,Ofgem confirms bill up by 13% Energy Live News,,+3 other outlets covered this
MENTIONED,8,BT Group,Telecoms,Google News: BT Group,news.google.com,2026-05-26T06:01:00+00:00,"At a 5-year high, how much higher can BT shares climb? - Yahoo Finance UK",https://news.google.com/rss/articles/CBMiekFVX3lxTE12bXdIaWhHNExnZFRHLTF2NHJPdzB0MlZfSndlelcxV3VlUy1rOTdtTHc1RUVVdTlDNWc1UzFmVTJ6bDdDcUtPa29FcDljWXFwNUhKNEdQTmQtRzFlSzdLb28yWHh3UEQtVmdiQWcySmFWcE13RFZ5N3pB?oc=5,"At a 5-year high, how much higher can BT shares climb? Yahoo Finance UK",,
MENTIONED,7,Severn Trent,Water,Google News: Severn Trent,news.google.com,2026-05-27T10:38:31+00:00,Full Year 2026 Severn Trent PLC Earnings Presentation Transcript - GuruFocus,https://news.google.com/rss/articles/CBMiaEFVX3lxTE44ZzFEOW5BbVdpNjMwbmluWXFHMlNJcVA5SlFZbkdna0Z3NWRXX3JVNFEzc0c1bFNzdHcwOFZfUXdBVUlUWXAwQndKNFNLckQtaXJKS1F1aUFiakpNaG5PYkFBcEhWajBT?oc=5,Full Year 2026 Severn Trent PLC Earnings Presentation Transcript GuruFocus,,
