tier,score,client,sector_guess,source_name,source_domain,published_at,title,url,summary,topics,why_it_matters
DISCARDED,0,South East Water,Water,Google News: South East Water,news.google.com,2026-08-12T04:15:24+00:00,89 per cent of people back White Horse Reservoir to secure water supply in the South East - Water Magazine,https://news.google.com/rss/articles/CBMizgFBVV95cUxOcWFFOTJEaFRsc1ZjRzJhTmVsVFhPZTVxSF80dUtBeFNWYlF3T1phdjVxbGplTzk1Y0tDRGlFdUJqLTc3UDNSd1lKT3JONHVvSVhQNVk2cGxCc1Y3Zi1DaG9RRjAwbV82T0tJSkV5OFpSWm5ONUV0Wl9MbkVaTEotS3lYcWZFNnk1aGdraEx6VGNTUDJYQm85d3N3Wjlvb1lBcmpHNFdPSzh5TGFYZjJBSUtBZEIxeG1RMGF6X2xjUnIteVlVdTNKYUxRMGlIZw?oc=5,89 per cent of people back White Horse Reservoir to secure water supply in the South East Water Magazine,,
DISCARDED,0,Energy UK,Industry Body,Google News: Energy UK,news.google.com,2026-08-14T09:38:46+00:00,UK Manufacturers Could Unlock Billions Through Clean Energy - Manufacturing Management,https://news.google.com/rss/articles/CBMitAFBVV95cUxQQ0RLZFpkei0ybmdpRmdWRzF1VEdWWG80ZEpTZWltSUxUY2ZtTTk0TUkwNHZDSDlEUWVLYVgwc2ZNaHRQaXlMSFFMLVcyTDdkeThmNjZBTGZjLWZmMlhTWEtkQjdPNDlILUQwMEMwRmNhTThFcFZBeTdYTk8xQi1BNlFidFpneHV5TEx0WWhGRzRVS3NERmhnVDJHeTRjU1FlM2QzbWNSMUlxZkQtSFBsZG5Kcnk?oc=5,UK Manufacturers Could Unlock Billions Through Clean Energy Manufacturing Management,,
MENTIONED,10,Vodafone,Telecoms,Google News: Vodafone,news.google.com,2026-08-12T09:24:27+00:00,AST SpaceMobile’s UK direct-to-cell plans use Vodafone spectrum - Telecoms Tech News,https://news.google.com/rss/articles/CBMiogFBVV95cUxPemFmY3B2OTNLWGs3OERZMzNoakxvZlpuT3pmWHdpb1hJaUE4YnQ0M3hZUXNaX2oyVjFocUNHcTVidEtrVFR1Ym1vcjNEOURFY05GOGdENGwwczBCbV9yMFVCZmxJQVhNTVRZSnQzZFBNOFNQU000UDFMYnZzN1NVdVhUdy15TzI4VzdnOU5PVjVXcG5PMVpDcl9BWDM5dWhobEE?oc=5,AST SpaceMobile’s UK direct-to-cell plans use Vodafone spectrum Telecoms Tech News,telecoms_infrastructure,
MENTIONED,9,United Utilities | Ofwat,Water,Google News: United Utilities,news.google.com,2026-08-14T05:33:42+00:00,United Utilities Group PLC (UUGRY) Discusses Ofwat Draft Decision on Totex Reopener Process and Regulatory Support - Slideshow (OTCMKTS:UUGRY) 2026-08-14 - Seeking Alpha,https://news.google.com/rss/articles/CBMizwFBVV95cUxQeTRVdWx1bE5zdkpmRVUydDJFaEZoR3RmdDhzQXRZa2dPVlBkOWQtUGlYMFlLM0haM0tkWmhkLWJndXlDUjdSdTh0OVgxRl81U19HRFJpZllpQ1RQOHBkbWpGc3BqWG1ZVHI5ejdSeWtWV3VlQ0lRUnlZWEdhdFdfOFhzRHhGWTFzczhlS1ZpaGZDR0Y5aG5ya3NSSVNSTG00RWRCT0pRWElITlhiak5CYWF5NkYweGpQakpyaDUxUTVGdFVseGV6a3BNS0JoOTg?oc=5,United Utilities Group PLC (UUGRY) Discusses Ofwat Draft Decision on Totex Reopener Process and Regulatory Support - Slideshow (OTCMKTS:UUGRY) 2026-08-14 Seeking Alpha,,
MENTIONED,9,Scottish Water,Water,Google News: Scottish Water,news.google.com,2026-08-12T03:00:47+00:00,Biodiversity blooming alongside Scottish Water solar scheme - Water Magazine,https://news.google.com/rss/articles/CBMipgFBVV95cUxPNlpSWHpkTFVJdUtrbmFEMGdQelV2Mmw2Z3VJQUVSb1h4clNyT3oyamNLOWt2cG5teWw5NWhlbnhuX0lQMXlXNmV3QUdQMWZZUElMeXhrRDdVaGpEQU1SWWxlSmRFb1phSVRYYktvanF0a3NpVEF5X3RsNzlVOGJvc0tkNldER3ZHSlFwS3NBcjVMbXBTQzdtUEpzY2tEYlJDbWhleTRR?oc=5,Biodiversity blooming alongside Scottish Water solar scheme Water Magazine,sustainability_and_net_zero | media_and_events,
MENTIONED,8,Southern Water,Water,Google News: Southern Water,news.google.com,2026-08-15T10:32:00+00:00,Sandown resident criticises Southern Water over flooding and recycling plans - Isle of Wight News from OnTheWight,https://news.google.com/rss/articles/CBMiogFBVV95cUxQUFRSUHd1eXpjajZXR1A1VVNaYXl4RWEwS25fSUVkd3ZYU1V1NUxWQkdRSkRzMUNKNnBFT0hrUTNBSnNSaWJMWUFSUGd6OEE3OFU1MTJjY1pJMTZyLUxVMTJRYVdqRmhyYmZSd3lmZVpvNGxEbWp3ZkFwRTFkZTY0SG1ncWRZeDhoRGpqNGtBT2VnLTNLNE94UXZIb19wQ2RSS3c?oc=5,Sandown resident criticises Southern Water over flooding and recycling plans Isle of Wight News from OnTheWight,,
MENTIONED,8,Southern Water,Water,Google News: Southern Water,news.google.com,2026-08-12T12:07:25+00:00,Southern Water sets record straight on wildfire rumours - Isle of Wight Observer,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPR3hUZ1BaU0kzd0hsQnUySmpaaElVWUI4bWNZLW05N1cwR0k5WU13YlVWY2k3QmEzWjhMamp6eXdndzloQ0J2cnUzOVNhSjVTdkpfS0p2Si1HSXZpWHp4VkFNOWtXaGY5RFhPTVlDRzlZbno3dnJuR2piTTl4SEVHa0R3aWFvREl0?oc=5,Southern Water sets record straight on wildfire rumours Isle of Wight Observer,,
MENTIONED,8,Severn Trent,Water,Google News: Severn Trent,news.google.com,2026-08-12T14:36:53+00:00,Marshalls secures place on £6m Severn Trent Framework - New Civil Engineer,https://news.google.com/rss/articles/CBMipwFBVV95cUxPVXhHSlJTZk53QjMzZWgxdEEzdks2aG9Id19fdWlqYUZ6QUIyNjNBakhQalU1MzdqcFZ6dzIzT3lfc0E5M2FLTUsxRlhwcnVBQW9HT3FaTzBTdFZoQ2Z6NVplLV9kUUVOQnQ4Yjc4dVhTNlhyV2ppQVI4UVZ2RGxtZHhXajhxUm5nUmJ6NmlEQ3dpTHd6ZmVRWlh3c1JDQVJtNmhWU3B2OA?oc=5,Marshalls secures place on £6m Severn Trent Framework New Civil Engineer,,
MENTIONED,8,Yorkshire Water,Water,Google News: Yorkshire Water,news.google.com,2026-08-14T09:42:27+00:00,Yorkshire Water recruiting engineers and project managers - New Civil Engineer,https://news.google.com/rss/articles/CBMirgFBVV95cUxPMTlHeTBYVDZBTDhpbXRuVkdqUEJLZ2JQQU9QZ2pQLURkLXZ2Q2YySkpkNlIzajZRalF5X18zOFNRbzZPSVVxaTFfYlFQVFRzX0RNYUZzM1NDdi1nLW12N3lwUEwtZUJiQTlFWV9YMG9YOGlBSFN3VG4yMjVNZkJyck1iTUd6dFd4ZXA0QjJkTjQ2M3UyRTZtR0oyS0VlWGI1T1lKN2JfcURRMXVOZ2c?oc=5,Yorkshire Water recruiting engineers and project managers New Civil Engineer,,
MENTIONED,8,Yorkshire Water,Water,Google News: Yorkshire Water,news.google.com,2026-08-14T13:00:00+00:00,Yorkshire Water invests in coastal water safety with new community role - The Scarborough News,https://news.google.com/rss/articles/CBMiwwFBVV95cUxPOHQwc1JUclpOZnpxN3FadDBKOVBsS0kwOG5YWkdhdzgwSHc1RkRRMHRSV0VZemFiVmpDcmlud2FhekpMNFVFVF83ME43Z3lZLXA5QXZiVE1LVl9hS0toVEV4NE5UM0dQRDFNMkR6Q2c3NENVdERJbjRIRlNsVmxXVmdSSXFnbmRMc2ZDZElDRHgtdi02eXN1RGdwV1k0MjRMWGtScV9IZEhTYVJMUnNwdEZRUGN0T29rYWJhZTVCT19hQ2s?oc=5,Yorkshire Water invests in coastal water safety with new community role The Scarborough News,,
