tier,score,client,sector_guess,source_name,source_domain,published_at,title,url,summary,topics,why_it_matters
MENTIONED,9,Thames Water | South West Water,Water,Google News: Thames Water,news.google.com,2026-06-10T13:41:14+00:00,Thames Water eyes return to London Stock Exchange while Pennon back in profit - City AM,https://news.google.com/rss/articles/CBMiowFBVV95cUxOTklNWFdPU1hPeGlfRW51bURjbGZaczJTbmNNMFhjdkNfOXYtTFFQaFY1d0FETUtSMk9jY0FLVmpHWEE5V0hoa0stTC1sS2RYN0dtQjhHak1hMG53cFllMHRhTktFOF9Ga2pZc01EekZFNnRseENraVQ1SHM0clY3V2E1UkUwR0NwaC0tcGdKNzhCOXZGUi1KNWxWXzhvRzJ5NlhV?oc=5,Thames Water eyes return to London Stock Exchange while Pennon back in profit City AM,,
MENTIONED,9,Thames Water | Ofwat,Water,Google News: Thames Water,news.google.com,2026-06-08T12:19:57+00:00,Ofwat expected to hold crucial Thames Water talks in 'coming days' - Sharecast.com,https://news.google.com/rss/articles/CBMizgFBVV95cUxNakpTekloRjdkZU5lYUZIb1NleXpnalZkTnQ1bEJYaDJUQ0UySjdDYVlsLVc1eS14cXhUaEpmRS1hUmp3bEFxSmUwdG5pcDVtTzljSVh2SHh5NUdBSVVkbjBWVDRKZ0JQRW1NWEpUQWJ6TVI0VjNSM25FZW96dXFNUndWci0yOGZVMWFJZmVELWJpOU9iQWV5eVRCY2J5WV9vWjdlbWpSemxodVdaSDh6cnRMUDVVZ1JwOVlNR2tMMEJ3RmQydmtUZ1E5aFdzZw?oc=5,Ofwat expected to hold crucial Thames Water talks in 'coming days' Sharecast.com,,
MENTIONED,9,United Utilities | South West Water | Ofwat,Water,Google News: United Utilities,news.google.com,2026-06-09T05:00:24+00:00,Ofwat grants financing subsidiary guarantee consents to United Utilities and South West Water - Water Magazine,https://news.google.com/rss/articles/CBMi0wFBVV95cUxORDNDVVVwVTFZcjdDcjZEaTB5WFNMYWpXNFNObTJnTmdoblhGLUU2bmI0c21RQ3VwSTFCLUtoUkxZSjBXRVVCSVljb05WekEzelo0bVAzTHFjVzZqWUFMNmQtbEVjV29DODRuRnBld2lGOHZXam1Kb3l4emZzNVNWLW9FazQtc18zclZSRnZyTS1lSmVBS1EtbkhWZ211bGw5SkQxbTFqRF80ajRibnFEUllCc3FvV2pRdThLbjQxSkw3UEd4Nnc1emI0cXhqNDJQdWF3?oc=5,Ofwat grants financing subsidiary guarantee consents to United Utilities and South West Water Water Magazine,,
MENTIONED,9,South West Water | Ofwat,Water,Google News: South West Water,news.google.com,2026-06-11T07:30:10+00:00,What Ofwat Told Newquay After the South West Water Vote - Cornish Stuff,https://news.google.com/rss/articles/CBMikwFBVV95cUxPSmpzaFBha0VYcERQMDhhQnprSy1DeElQcEFrOEVyX2J4NnBoaFJtaHZheDRUeGpLSGR3WnNDLXZuSUM1ZXAtZzRCWVY4ZHlvNTFjeWoza1QtUndWalBBVHBSNHE1UUtmTWRGTVRuczdwZlV3TmRxWXBVbXp6aHVBVFJjMUxxaHM1bm5hRDNuVnBaWXM?oc=5,What Ofwat Told Newquay After the South West Water Vote Cornish Stuff,,
MENTIONED,9,Ofwat | Ofgem,Regulator,Google News: Ofwat,news.google.com,2026-06-10T00:00:43+00:00,Ofgem and Ofwat failing to ensure firms support customers in debt - Utility Week,https://news.google.com/rss/articles/CBMilwFBVV95cUxPVVZqdXNqSV82elgySFBsa1g3dThMMVk2Uy1DSmljZHJIRnJsTUp3TlZ6em9STFk3UjFYdjNub3JBUUJBakF6MXo0UEZsYkc1Z3VhNWpoNHNMWlRyNXBJTzNhZUNMTzBaSTAwVk5kdHQxMjYyamwtVW5IcmdaQXZpblMzbEtkMU1QaHlEa0ZVS3lRdWJ2UURZ0gGjAUFVX3lxTFBSMHBETzF5T1lwdUZZaTdranIxSktNR0gxd0wwa2ZHNGxSaTNudG1FYzltTUJWVDhlQUFrRFliWk9GX0g1TS1GcUJ4NWFiVV9CSm1QbFB0ZHlOR1JiSkpoY0ppdnpjOU1vYXBhZDhsZDRRdzVyaXZKeDlJRmphNF91T1hMQnlKRXpyTEtHSUYtMi1GRVRmc2dWdjdXeUF1ZzFHX2M?oc=5,Ofgem and Ofwat failing to ensure firms support customers in debt Utility Week,,
MENTIONED,8,Thames Water,Water,Google News: Thames Water,news.google.com,2026-06-08T11:30:15+00:00,"Private equity, Thames Water and the new colonialism of capital - London Business News",https://news.google.com/rss/articles/CBMimwFBVV95cUxOd2hyRzhvVTRXMjRsUTFHcVFjYS1RV0dhdFpWRVJxdHlRbTlGVDVVTjhCLUd0ZlUxY0tCeUxLbk1vNUZPZmwwc3A2R1ZpRUVwcXZCbFdKc0tCSG01QjE4bVhpd0p1ZXdUS1ZVMGRWQ21OSHEtc2ZQVmxCcXdHX1YzSXVvQkRzNE5XWnJHeEQweGhYV2dBMWVyLTFZdw?oc=5,"Private equity, Thames Water and the new colonialism of capital London Business News",,
MENTIONED,8,Severn Trent,Water,Google News: Severn Trent,news.google.com,2026-06-09T15:35:13+00:00,Severn Trent picks Tracto for pipe bursting - Construction Index,https://news.google.com/rss/articles/CBMilwFBVV95cUxNQ1hfOVFrMmRreUFlUWd5ZE9CN2s1OThYenFBMVhGVXVlc0tPbENrNEZuTzFqSFdVTW9zdl9oUlBnc2ZrZGtqalI2RXBQNmRLZGpONm5xZHBXbXR4MV95T2JEU1NXUHZQeF94eTJOMk1xeWtSejZaOXJ0UzVjQ25oY1hpSk9KNkVYcjNuWDltUW5JTFNnSmpV0gGfAUFVX3lxTE1OSkVyc2FsSWNwR09TOXZHQ1dxT0N1bUV5YnYtNFlLV3IzUVZGSlJfSk1DRzZ2TkFEZ3lyajY0SzhwcDFMQVVwODdLemtsMUNIMERhRDh4a1FTd3JXWjBOUjh0MzFxdExBazQ3cTFSNUhUNFpjTG5leUlwU2lpOGlZTThyc2hfQU5ENWcyVTBCaHJwQm5HZC11X3QwZ3NfNA?oc=5,Severn Trent picks Tracto for pipe bursting Construction Index,,+1 other outlet covered this
MENTIONED,8,Anglian Water,Water,Google News: Anglian Water,news.google.com,2026-06-11T11:40:11+00:00,Anglian Water looks for PPP advice - Partnerships Bulletin,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQX2MyZXNPTEcxeXdfaFM3aFFpdUQ5Ql9Uek81WFRGS3BMM2hmSGxkX3BKNTVBaGcxUjNJelVOWnp4TXlyNWFxTlFwSnBrWDNmTWx6cmNEMXFyS1Q2MTJ1dmlrcHg1R0t0UW1YMFFaR0oxNUthUERhZ2Z0UFR0QVJGa0lXaHVGWS1RTU40?oc=5,Anglian Water looks for PPP advice Partnerships Bulletin,,
MENTIONED,8,Southern Water,Water,Google News: Southern Water,news.google.com,2026-06-11T11:40:22+00:00,Totland parish councillors raise sewage failings ahead of Southern Water chief’s Island visit - Isle of Wight News from OnTheWight,https://news.google.com/rss/articles/CBMitwFBVV95cUxNcGpLel9HQzBVM0dMR2VneWc3ZjRFSmI5dkoxNnotTXVpREtZeHQxWVpvZkMyQS1GZ01oajdoQ21SYU1JVk1zbDRReFVKZU1sOU1Td012WFpmNGFWelZncWtfUnFqdnZORjNfWVRMTWhPQXN1bzlrOFJSQVViMnMzS0JJRFFHd1dJVEhvcThsMlBVUW5CTmFmN0ppaFotcWUyRnMwZlNRdmY5MmR5WWkwNFhCMkNXVlE?oc=5,Totland parish councillors raise sewage failings ahead of Southern Water chief’s Island visit Isle of Wight News from OnTheWight,,+1 other outlet covered this
MENTIONED,8,Southern Water,Water,Google News: Southern Water,news.google.com,2026-06-09T16:35:24+00:00,Southern Water dealing with UV glitch at Weatherlees treatment station - The Isle of Thanet News,https://news.google.com/rss/articles/CBMitAFBVV95cUxNRk8ta0xaUnZmVkVaYTNxZjFRa1NhdEtGWE1VRFBiaFVMQXhCcVVxaVE2TGE0S2E1cjkxTjdzdVNGYldhTEwzVXBjR016U09hYVAwd1lrODVfYlVTTFl2MmR4eUNDdnJnbkZTdnd1VlpHbkxNYTlBTDVac016NmJ6Rk1obHU1RWYxYVI3UWtSeTI0d0c2cmZMYTdMQkNPb0lZNU52YXJqcklKc2JZdXQxN1pfcEc?oc=5,Southern Water dealing with UV glitch at Weatherlees treatment station The Isle of Thanet News,,
MENTIONED,8,Southern Water,Water,Google News: Southern Water,news.google.com,2026-06-12T15:00:00+00:00,Bembridge sewage row: Southern Water exploring pipe alternatives after backlash - Isle of Wight County Press,https://news.google.com/rss/articles/CBMirAFBVV95cUxPdEMxUnNFMHdxQnY4Y2ZKWUMtVnE0dzFrRXh0WTZ5aVJFNzRCTXBGX09TRXowNEtWWkxwWm1kZkM1NzFrN0JxSXFic2hyS0ktdi1TUGI1MUNwOHN3MW1RcjQwTUpNdHViS0lIY21vWDV4MkZQdTBXTlJ3M3ktWDNkTkdVdFA3SGJZeFAzZF9YTGh5Vm02RG9jYzVlU2NQTnpuc3FUVXZDY0NKVGFt?oc=5,Bembridge sewage row: Southern Water exploring pipe alternatives after backlash Isle of Wight County Press,,
MENTIONED,8,Southern Water,Water,Google News: Southern Water,news.google.com,2026-06-09T11:35:22+00:00,Southern Water defends Bembridge outfall repair as legal challenge keeps work on hold - Isle of Wight News from OnTheWight,https://news.google.com/rss/articles/CBMirgFBVV95cUxQNGF0Y3E1NXFTR2pOUmxuMTJaSmZ5dkgtUU44RTRKNzZMUWg3SzNkNkQzejdnY3FKbklpYXByd25IRjh5cVhDYjRpNndTSTBJUjdSQXNsVHN2N2hOZGhDb0hRU1Q5TXNFbFFBVTZJTkkzVWFUamdWYzdoenZnVTQwUWlZOTRiYnEzVGl1MTVxUjdUOUxpc1dDMmhnbGNfWlBoVTRzWHp1LV82anA1THc?oc=5,Southern Water defends Bembridge outfall repair as legal challenge keeps work on hold Isle of Wight News from OnTheWight,,
MENTIONED,8,Portsmouth Water,Water,Google News: Portsmouth Water,news.google.com,2026-06-11T08:38:48+00:00,Vysiion secures £3M Portsmouth Water framework contract - New Civil Engineer,https://news.google.com/rss/articles/CBMiVEFVX3lxTE5OVzl4VTVFSVpROHJJZHBjM1ZiUGNNM09KSmlYOFJMb2czZUd1bE43dnNQbG9JOGtMWWtTYW9KOFI2LU4wY3dXUkhtNXhiWnNabE1Iaw?oc=5,Vysiion secures £3M Portsmouth Water framework contract New Civil Engineer,,+1 other outlet covered this
MENTIONED,8,National Grid,Electricity,Google News: National Grid,news.google.com,2026-06-10T10:02:00+00:00,National Grid anticipates major power surges during England’s World Cup matches - Engineering and Technology Magazine,https://news.google.com/rss/articles/CBMitgFBVV95cUxPNlFtMGFpVEkyam1LeEM4T0JpNjJDNTUwTUpZNGFzbU9CTXdwZFA1ZGJDdzZTaDkwencwNmUtdzRvcTEwNnk1SE5GS0poY0pzMGttOERIdzV5OFhzRGtFMGw4ZW1Hd0x1Zko2cHNOY2FBY1kycFJFTFJJT2VJbVRFQjFtdk9BdFdIME5zbkRrcFRUUFM2WEhKMko4TS14bFpqdnI1SUU4bVk0NEZIT2V3eG50ZXdxZw?oc=5,National Grid anticipates major power surges during England’s World Cup matches Engineering and Technology Magazine,,
MENTIONED,8,National Grid,Electricity,Google News: National Grid,news.google.com,2026-06-10T11:04:15+00:00,NESO speeding up grid delays - Energy Live News,https://news.google.com/rss/articles/CBMie0FVX3lxTFBkdnpiVmhRaUNwWkVnS1FzVXJoUW1Va3d5Tmx0eGVVbHpBdS1LLXdiZWl5dzU4cW5XeElFaEhqZ2NSVS1YZkxGTWJ1VUpYU0luNUdVSDU3TEJmNDRYZTc0ejA0eWNVbk1GT2NpMERNcnpJR2NSbG5TQTdTQQ?oc=5,NESO speeding up grid delays Energy Live News,,
MENTIONED,8,National Grid,Electricity,Google News: Energy UK,news.google.com,2026-06-10T14:46:58+00:00,NESO Makes Grid Connection Offers to 700+ UK Clean Energy Projects - Global Banking & Finance Review,https://news.google.com/rss/articles/CBMimwFBVV95cUxNTDZjVDU0RFJkdk8wUnVVeDd3WjcxTTYyQ0xkNGJHWnZzbTNESFZ3bFJaUjVJMTJCMWYxM0xPeUVHdmlSc25oTWpGOUdfRldFOS1LTXdyYmQtUE1CTkFGVkh5c0pLRnJ6NXhJT3hCdmNRXzVDRWI4M1hvZUZIeURzUjAzdlpHTVJUSVkwUlEyQ3Mza2Ewb3FBb0xsSQ?oc=5,NESO Makes Grid Connection Offers to 700+ UK Clean Energy Projects Global Banking & Finance Review,,
MENTIONED,8,SSEN,Electricity,Google News: SSEN,news.google.com,2026-06-09T13:04:56+00:00,SSEN Distribution develops new tool to maximise flexibility - Energy Live News,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9OR3lnRE1mdGt6MTdTaTJ3VXBwOG1TZ1djcVlyMDFIVzVDT01pS1JQRk55MEN3S3NUanNCUHVkbi1IaWdnUUVpaWpjTEo5djdJRHc?oc=5,SSEN Distribution develops new tool to maximise flexibility Energy Live News,,
MENTIONED,8,Northern Gas Networks,Gas,Google News: Northern Gas Networks,news.google.com,2026-06-09T13:09:35+00:00,Northern Gas Networks became 'concerned' for Bradford resident amid routine check - Telegraph and Argus,https://news.google.com/rss/articles/CBMirgFBVV95cUxPSjNLMG9hMVoyVVZVZHZLNU93cEVmX1NIUmlFS2VfTnJqNm04d2VodnQxbmJ2a19GOXZBNTM5QVFQMGxoclRkZHFRRElybWs5WEh2LTJFZEhsUWpmaHNtMlhqZk5qYVpIU1lsS2VUSk1zQ3VyMFg1bTJxS2pHbnpka0ZxZEVpYTQ0bmY3LU1tWXJ6QjlzR2VGY3FSZE90OWZ4RlZOb19CY084dGZMNFE?oc=5,Northern Gas Networks became 'concerned' for Bradford resident amid routine check Telegraph and Argus,,
MENTIONED,8,Ofwat,Regulator,Google News: Ofwat,news.google.com,2026-06-10T13:00:00+00:00,Ofwat – The NEN - North Edinburgh News,https://news.google.com/rss/articles/CBMiQkFVX3lxTFB6OFRZc2lWazlpem5yUWZ5d2JLSTUyVWE5WUMzZUY4T1NaSWk3SXRvNHNWbFAzUWVLb1pneFNaNTFEZw?oc=5,Ofwat – The NEN North Edinburgh News,,
MENTIONED,8,BT Group,Telecoms,Google News: BT Group,news.google.com,2026-06-09T14:17:00+00:00,Is the BT Group's investment case flattered by high hopes? - Proactive financial news,https://news.google.com/rss/articles/CBMiywFBVV95cUxOZFYyUFRDOEdMdTZoaFpCQno3aFVUaW5CMFJ4THk3dWJEZi0wcWhEMjJpRHdJYzlMNnhlb0dmUDdwUFZMdEdZVXZXdzNabnlXOVFTYlU2ZU4zUTQxaGVuSHQycHZxMUlETVpSY1RhSk4zelR6WEtqNEgwOFQ0UWMxSFBkLTBiOGpmOGdKS29aUS1mNTRNZFBUMFMzYlRjWlA0MTF6eFBUMEZvaXBZTmVSM2cwamZKWlNSd3UwRW8zUmVFZVlNU1B6c29ZYw?oc=5,Is the BT Group's investment case flattered by high hopes? Proactive financial news,,
MENTIONED,8,RWE,Electricity,Google News: RWE,news.google.com,2026-06-12T12:06:27+00:00,"Meta inks 298MW solar PPA with RWE in Bowie County, Texas - Data Center Dynamics",https://news.google.com/rss/articles/CBMiogFBVV95cUxQRmd6MDZKcmowc0ZfalZmQkcweDRQOWY1dlpDRkJLWndiakJyUXNYQ3dqbkRJMGxSVkwxVGJrRk1GcEpiMDltdEZHTlFJSTlyTGloUWVGMWVpUmQ4SjRFSTdXamViQUdLUVZ6OEFWNlA1T1J6SDZrRDVtdExMTUx4R1pGM3pEYV9zcUNVNHNOcDZUNU4yX2NHUTVMYzU3MUgtZ1E?oc=5,"Meta inks 298MW solar PPA with RWE in Bowie County, Texas Data Center Dynamics",,+1 other outlet covered this
MENTIONED,8,RWE,Electricity,Google News: RWE,news.google.com,2026-06-14T09:31:25+00:00,Final turbine installation at RWE’s Sofia OWF - Ocean Energy Resources,https://news.google.com/rss/articles/CBMilwFBVV95cUxNSV9WRVFBOGZTOHFXOWNad01KaDB1Q25nQXZBc3N5MGd6YkZCbkVDV3RPMHR6bExIM0R6T0ZyUXJYM25JN25HNUVteGRUbG1kZTdkTERyTEllaGItam45VUllVlBFS0dyd0RwVGFHX0NNaHVuY04tcUF3OE1Xald2cnM3cFV3ZFJLbzY4aE5pdzZlWmZ1Ymhn?oc=5,Final turbine installation at RWE’s Sofia OWF Ocean Energy Resources,,
MENTIONED,7,South West Water,Water,Google News: South West Water,news.google.com,2026-06-11T23:00:00+00:00,"South West Water colleagues raise £1,581 climbing Snowdonia mountains for WaterAid - South West Water",https://news.google.com/rss/articles/CBMizwFBVV95cUxQYXZ2ZVZnaERMamUwZ0ZQVVBnQlhBVXI3QkQ3MXduRzlDdFhydG4wRGJDSWFCc1F5N3hQSkFjZVo4YU02NjEwMGVyaHNuZ0FLaGszSExfdHZETFpIaC0yX19WMmdmRXgtWnh4Z215X2t3dnZiQTBqZXh3ejhiS0VtM0o3VnFsSlY0TUZDaTBaWkhSZGxQY2Q2cjJKWGE3cmJqMDFMOHFzeV9GN3Z5cDBKRVU3QUJ3U3ZCQUd3R3FXWVRzZ0g2ZWtMY3hld20zWkU?oc=5,"South West Water colleagues raise £1,581 climbing Snowdonia mountains for WaterAid South West Water",,
