tier,score,client,sector_guess,source_name,source_domain,published_at,title,url,summary,topics,why_it_matters
MENTIONED,10,Informa,Media,Google News: Informa,news.google.com,2026-06-05T12:14:55+00:00,Leading Through Growth: Inside Informa Connect with CEO Andy Mullins - Trade Show News Network,https://news.google.com/rss/articles/CBMivAFBVV95cUxNaU1uMTVkVEdFaFlnMkNORW1qTGFuRkd6dHNWd0JReGZONkxqNXJWeHZ6OHJBemJybHJHTmJMVE43Y3Bnek1OZ2VBemtRZXFLT0YwT3hsWjNyZFluVmNsbThOWTUzQnRYajVJaVdFTnFRaGlCV2stUWN4bU43ZURscndITl9hRTlyLTdob3lnMGQ5SVpOZndSdkQtU2J0bmNpLVl6MHphTUJsOVg5QnBzUGh5akVUNy1kMDcwOQ?oc=5,Leading Through Growth: Inside Informa Connect with CEO Andy Mullins Trade Show News Network,media_and_events,
MENTIONED,9,Thames Water | South West Water,Water,Google News: Thames Water,news.google.com,2026-06-10T13:41:14+00:00,Thames Water eyes return to London Stock Exchange while Pennon back in profit - City AM,https://news.google.com/rss/articles/CBMiowFBVV95cUxOTklNWFdPU1hPeGlfRW51bURjbGZaczJTbmNNMFhjdkNfOXYtTFFQaFY1d0FETUtSMk9jY0FLVmpHWEE5V0hoa0stTC1sS2RYN0dtQjhHak1hMG53cFllMHRhTktFOF9Ga2pZc01EekZFNnRseENraVQ1SHM0clY3V2E1UkUwR0NwaC0tcGdKNzhCOXZGUi1KNWxWXzhvRzJ5NlhV?oc=5,Thames Water eyes return to London Stock Exchange while Pennon back in profit City AM,,
MENTIONED,9,United Utilities | South West Water | Ofwat,Water,Google News: United Utilities,news.google.com,2026-06-09T05:00:24+00:00,Ofwat grants financing subsidiary guarantee consents to United Utilities and South West Water - Water Magazine,https://news.google.com/rss/articles/CBMi0wFBVV95cUxORDNDVVVwVTFZcjdDcjZEaTB5WFNMYWpXNFNObTJnTmdoblhGLUU2bmI0c21RQ3VwSTFCLUtoUkxZSjBXRVVCSVljb05WekEzelo0bVAzTHFjVzZqWUFMNmQtbEVjV29DODRuRnBld2lGOHZXam1Kb3l4emZzNVNWLW9FazQtc18zclZSRnZyTS1lSmVBS1EtbkhWZ211bGw5SkQxbTFqRF80ajRibnFEUllCc3FvV2pRdThLbjQxSkw3UEd4Nnc1emI0cXhqNDJQdWF3?oc=5,Ofwat grants financing subsidiary guarantee consents to United Utilities and South West Water Water Magazine,,
MENTIONED,9,South West Water | Ofwat,Water,Google News: South West Water,news.google.com,2026-06-11T07:30:10+00:00,What Ofwat Told Newquay After the South West Water Vote - Cornish Stuff,https://news.google.com/rss/articles/CBMikwFBVV95cUxPSmpzaFBha0VYcERQMDhhQnprSy1DeElQcEFrOEVyX2J4NnBoaFJtaHZheDRUeGpLSGR3WnNDLXZuSUM1ZXAtZzRCWVY4ZHlvNTFjeWoza1QtUndWalBBVHBSNHE1UUtmTWRGTVRuczdwZlV3TmRxWXBVbXp6aHVBVFJjMUxxaHM1bm5hRDNuVnBaWXM?oc=5,What Ofwat Told Newquay After the South West Water Vote Cornish Stuff,,
MENTIONED,9,Ofwat | Ofgem,Regulator,Google News: Ofwat,news.google.com,2026-06-10T00:00:43+00:00,Ofgem and Ofwat failing to ensure firms support customers in debt - Utility Week,https://news.google.com/rss/articles/CBMilwFBVV95cUxPVVZqdXNqSV82elgySFBsa1g3dThMMVk2Uy1DSmljZHJIRnJsTUp3TlZ6em9STFk3UjFYdjNub3JBUUJBakF6MXo0UEZsYkc1Z3VhNWpoNHNMWlRyNXBJTzNhZUNMTzBaSTAwVk5kdHQxMjYyamwtVW5IcmdaQXZpblMzbEtkMU1QaHlEa0ZVS3lRdWJ2UURZ0gGjAUFVX3lxTFBSMHBETzF5T1lwdUZZaTdranIxSktNR0gxd0wwa2ZHNGxSaTNudG1FYzltTUJWVDhlQUFrRFliWk9GX0g1TS1GcUJ4NWFiVV9CSm1QbFB0ZHlOR1JiSkpoY0ppdnpjOU1vYXBhZDhsZDRRdzVyaXZKeDlJRmphNF91T1hMQnlKRXpyTEtHSUYtMi1GRVRmc2dWdjdXeUF1ZzFHX2M?oc=5,Ofgem and Ofwat failing to ensure firms support customers in debt Utility Week,,
MENTIONED,8,Thames Water,Water,Google News: Thames Water,news.google.com,2026-06-08T11:30:15+00:00,"Private equity, Thames Water and the new colonialism of capital - London Business News",https://news.google.com/rss/articles/CBMimwFBVV95cUxOd2hyRzhvVTRXMjRsUTFHcVFjYS1RV0dhdFpWRVJxdHlRbTlGVDVVTjhCLUd0ZlUxY0tCeUxLbk1vNUZPZmwwc3A2R1ZpRUVwcXZCbFdKc0tCSG01QjE4bVhpd0p1ZXdUS1ZVMGRWQ21OSHEtc2ZQVmxCcXdHX1YzSXVvQkRzNE5XWnJHeEQweGhYV2dBMWVyLTFZdw?oc=5,"Private equity, Thames Water and the new colonialism of capital London Business News",,
MENTIONED,8,Severn Trent,Water,Google News: Severn Trent,news.google.com,2026-06-09T15:35:13+00:00,Severn Trent picks Tracto for pipe bursting - Construction Index,https://news.google.com/rss/articles/CBMilwFBVV95cUxNQ1hfOVFrMmRreUFlUWd5ZE9CN2s1OThYenFBMVhGVXVlc0tPbENrNEZuTzFqSFdVTW9zdl9oUlBnc2ZrZGtqalI2RXBQNmRLZGpONm5xZHBXbXR4MV95T2JEU1NXUHZQeF94eTJOMk1xeWtSejZaOXJ0UzVjQ25oY1hpSk9KNkVYcjNuWDltUW5JTFNnSmpV0gGfAUFVX3lxTE1OSkVyc2FsSWNwR09TOXZHQ1dxT0N1bUV5YnYtNFlLV3IzUVZGSlJfSk1DRzZ2TkFEZ3lyajY0SzhwcDFMQVVwODdLemtsMUNIMERhRDh4a1FTd3JXWjBOUjh0MzFxdExBazQ3cTFSNUhUNFpjTG5leUlwU2lpOGlZTThyc2hfQU5ENWcyVTBCaHJwQm5HZC11X3QwZ3NfNA?oc=5,Severn Trent picks Tracto for pipe bursting Construction Index,,+1 other outlet covered this
MENTIONED,8,Anglian Water,Water,Google News: Anglian Water,news.google.com,2026-06-11T11:40:11+00:00,Anglian Water looks for PPP advice - Partnerships Bulletin,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQX2MyZXNPTEcxeXdfaFM3aFFpdUQ5Ql9Uek81WFRGS3BMM2hmSGxkX3BKNTVBaGcxUjNJelVOWnp4TXlyNWFxTlFwSnBrWDNmTWx6cmNEMXFyS1Q2MTJ1dmlrcHg1R0t0UW1YMFFaR0oxNUthUERhZ2Z0UFR0QVJGa0lXaHVGWS1RTU40?oc=5,Anglian Water looks for PPP advice Partnerships Bulletin,,
MENTIONED,8,Yorkshire Water,Water,Google News: Yorkshire Water,news.google.com,2026-06-10T17:41:00+00:00,Yorkshire Water to Upgrade Scarborough Storm Overflow Telemetry - This is the Coast,https://news.google.com/rss/articles/CBMiswFBVV95cUxPX1NSYVVmelFQLWwxR0ZoRFFIczZoX0NhNklYcWoyUmk4N2ljSGxidEctOGUzX2hRVld6U1BXU3lfdGFjNUU1SEdURmh2MXRFbl9XTy1NdGw1ZWVRWVBva0tVSjRPVWpmRmtjQkFOb21pdDNQU2QyS19tTm5BeGVhSDJ5SXpicXRLT3QzY3NvMlkwblV2SnlaNzZJZHJjV3Q4WEdIcHVndVQ5QkZKenpIanZQcw?oc=5,Yorkshire Water to Upgrade Scarborough Storm Overflow Telemetry This is the Coast,,
MENTIONED,8,Yorkshire Water,Water,Google News: Yorkshire Water,news.google.com,2026-06-08T19:20:00+00:00,Yorkshire Water Plans New Service Reservoir for Sandybed in Scarborough - This is the Coast,https://news.google.com/rss/articles/CBMivgFBVV95cUxQYThHWE40RzR2dlcyRjVvRkJaS3RYRHk5ZUNxVjBhRDA2RlZSLUVxSDNGWG5PQjVmV3lxN3oxZENycDIzNVhZQXczSGluaVFoQTRoT1RXRTZGMlVuVmRhdDZKV0kzVUtwQmpQYVBSdEFqcXFJM2FodGd0cmtmOGQ4Ri1hMHlnb3R4OTBUdFlGbHphMk5mS1ZNWnJsdk5SSGRYRlN4cnctN216OWU0VnNKUS1hVUVsNm52ODJoelhn?oc=5,Yorkshire Water Plans New Service Reservoir for Sandybed in Scarborough This is the Coast,,+1 other outlet covered this
