tier,score,client,sector_guess,source_name,source_domain,published_at,title,url,summary,topics,why_it_matters
MENTIONED,9,Virgin Media O2,Telecoms,Google News: Virgin Media O2,news.google.com,2026-05-12T07:55:17+00:00,"Responsible Business Built In: Virgin Media O2 to help 500,000 low-income households stay connected as part of new ESG strategy - Virgin Media O2",https://news.google.com/rss/articles/CBMi8AFBVV95cUxQMTBidXFULXBpbVIxOGVlRjUtYlNndlA1TWRPRlZKbHUxblpsQjU2V2Q0bFZ1OXgyZHhndUJDM09rZW5PSUlqcC1xUnZvRllVOF9STzRCMV95UHVzcEZXYmVzaTZ4NGZsYllHSDJ2SFg3UXRfM0hTTkt4SHp0eTZabmhxNzNZUDRheVdUMVNWQ0RTZWp3cUc3M2VlTGhXdEw3VGhfZkN2bGdHVVBDS1ppNzdZa0pEQjZoZDBtVzR4SUZDbXE4cjBvSF9UT1h6YTFtR0ExNjV4cXRlS3R5dmZwR242YmJFYjUxd1VmMkpPNnA?oc=5,"Responsible Business Built In: Virgin Media O2 to help 500,000 low-income households stay connected as part of new ESG strategy Virgin Media O2",sustainability_and_net_zero,
MENTIONED,9,Virgin Media O2,Telecoms,Google News: Virgin Media O2,news.google.com,2026-05-07T09:05:00+00:00,Virgin Media O2 UK Sees Record Broadband Traffic Spike from Footy Streaming - ISPreview UK,https://news.google.com/rss/articles/CBMixAFBVV95cUxNdGFFTE9HbnNqV1NyLVNTU1N1Nmh0MUhsRGUxUDU0UGtSV3dkWDNKZkc5aVNENjU3MV9VYWtRUGxZaE1WVVFJZlU4RXo2ZGYzeHZLSjE2S0xFZEVWZHQ1MEN2OXFOVWxTWU9KMVh6a0JSZ2lJRkRkWUhKSDR1cXdPSW1HUW1nQktpQjZCZnhBMGNZblFPUjZEWnh6TjV2OWd4RW40Sm83LWxWbkxLMTk3N25FOC03Sml3VnhWaEJFNzUwbnBr?oc=5,Virgin Media O2 UK Sees Record Broadband Traffic Spike from Footy Streaming ISPreview UK,media_and_events,
MENTIONED,8,Northern Gas Networks,Gas,Google News: Northern Gas Networks,news.google.com,2026-05-07T15:38:00+00:00,"Essential Gas Supply Upgrades: Cowling, Keighley - Northern Gas Networks",https://news.google.com/rss/articles/CBMinAFBVV95cUxQeUh1THFxQVVKX1drMThROHBhUzlvMGN1STAyckQ1d3k2SDNNbFNRcHJVM3RXcy1SRmxSMUZVTndfb2RTck1ncXJNQlBLallaZExhdDhhY0FhUEZReVJNX2xmSEhLbVNnbU9ycFNaVTQ2dXo4ZDNLb1h0SjlNS1J1aGhYYjM0Q2NYZEVjYkkwVFNHZk5scGdLV2hON2c?oc=5,"Essential Gas Supply Upgrades: Cowling, Keighley Northern Gas Networks",,
MENTIONED,8,Vodafone,Telecoms,Google News: Vodafone,news.google.com,2026-05-11T13:15:00+00:00,TalkTalk and Vodafone most complained-about broadband providers - Birmingham Live,https://news.google.com/rss/articles/CBMinwFBVV95cUxOaldvVlE4U0QtWWJIOTdGeV9qTzBMTjd1d1l3REt3bEtlbXFaSXN4dFFVUmpJWkVLekNpSVhGbE0tbWJ0eUk1azNZczUzZ19HUlN4dm05RVU1MUV1SUl0ZmRRM1ZfOEJzQ1U3RmZ3NW5MdXJyOGg5TTVpR3Rkbm42WnFaSGhSMllkTDlaOUxLNzk3TU9naGRVM004OVQ5WlXSAaQBQVVfeXFMTkRCTjNqZ1NETzhUczdjVmhMWTFrNDRiT0RTcHlYR0JnbUZ6bWtNMTJoWS02dlBBYzFRQTdmWVpqcVlFWVFMVmh6bEI0Q2J5bXprUDY4TndnSmZZb1A3M055RDM4V1BBZWtfSG1Db3RUMzhOSDgtR1lRR3J1UG5LT1FrOV9QMURkOWo4TVRLVGxlaXBBaWtDOEkydC0xRkdvVENyQks?oc=5,TalkTalk and Vodafone most complained-about broadband providers Birmingham Live,,
MENTIONED,7,United Utilities,Water,Google News: United Utilities,news.google.com,2026-05-11T17:12:35+00:00,United Utilities Group stock (GB00B39J2M42): Full year results due May 12 - AD HOC NEWS,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOd0hqS2xLcVZGd2RJRkNNNmIzZXBXdFJEWWwwOExMZ3RaeGp4Q3NhdGtBdHFQYURoYkNpNlZUOWNIOC00MGtoZlE3S1VuNHpYc2ZXcWJRS0pRZ3FvMkFwVlhQQzQ4cnNnYlJqTEZDS0FnNzFsR3ltbUNnQVVKc0hrd0JSZG9CQzNxQUlsbWxKWng3RXMyQVl2SWVSaXhCaGlFRjBZQ1plMk5URFVXYnZQWVdoODZWM0lEbjlZQkR2RGJjVEdxcnY0Vw?oc=5,United Utilities Group stock (GB00B39J2M42): Full year results due May 12 AD HOC NEWS,,
MENTIONED,7,Scottish Water,Water,Google News: Scottish Water,news.google.com,2026-05-11T10:42:03+00:00,Scottish water investing £4m to tackle sewer debris in West Dunbartonshire - Dumbarton Reporter,https://news.google.com/rss/articles/CBMirAFBVV95cUxPV0cwUzhoX1pNOUJuZHpJczFSMTRrdDR2NzhWRmJEQW5sZC0ybFVFMk56elNESkFsbmJOUkRHVzZLYVI5WlFLVFBNalFhMVNWYjNIWkRrOVpqU1Y0Q0FQaVNzSnBOZVJ3QkY1RTR1Sk9xWVRyZTdVTGw2NEJ1R3lqdjFjN2JlRVJLRjFVZ3VHWW03NFhjSnhSTkFpdDdYRjRoclM1di1NV1hIOTln?oc=5,Scottish water investing £4m to tackle sewer debris in West Dunbartonshire Dumbarton Reporter,media_and_events,
MENTIONED,7,Scottish Water,Water,Google News: Scottish Water,news.google.com,2026-05-08T04:00:23+00:00,Solar panels power up Scottish Water site in Forfar - Water Magazine,https://news.google.com/rss/articles/CBMimwFBVV95cUxQVHl0LWhIWG5DTmNIRnJ5VWJlMnd4aUFfNWRXM19xWTJMaXBVams3bW1IRlg3c0NiLXgzWEhOZ0RZMjc0TFF2WlFQM1k2WGJPOS1pUkhKb0c4U1lUTzZwNEdsbFdONURxbDVHTjRYSUNWRjZQOGtaMnZ6amlTNlVRQy00MGh4YXNWZFlHVjBSR2Ixa1BNSUNDd29Caw?oc=5,Solar panels power up Scottish Water site in Forfar Water Magazine,media_and_events,
MENTIONED,7,BT Group,Telecoms,Google News: BT Group,news.google.com,2026-05-07T11:46:00+00:00,BT Refreshes UK Consumer Brands and Relaunches BT Mobile Service - ISPreview UK,https://news.google.com/rss/articles/CBMitgFBVV95cUxNYkU0RGhKdzVfaU45WWd3Vy11bHJQX1ZrZUJLcHJSSHNjaUhsRWg3RmFONktDWVMzb1dxTW41b0YzSm9oR0lfSV93RE52Mmk2VEZKR2VKYVZqc1JkMVdLMzA0NTNOaGVpeWR1QlQ3RkZxaW1sbjZCZVA4RmJ0ZGNxQzBzNVRSZ3I1dm5fVUs1TXVLa0JmLUozLUdqWUhZQWZRRDhtMmhzaUtEZlIza3g2ZU1QSnFUQQ?oc=5,BT Refreshes UK Consumer Brands and Relaunches BT Mobile Service ISPreview UK,,
MENTIONED,5,Thames Water,Water,Google News: Thames Water,news.google.com,2026-05-07T10:49:00+00:00,Sarah Olney demands action from Thames Water after Richmond Hill pipe burst - Richmond Nub News,https://news.google.com/rss/articles/CBMiwgFBVV95cUxQcU5zMGN1NlBURDkySk0tVjE0NHpaeDZOMU5xNGhTbzhGYzFySnIwTFNKV0JaNWpOcVRBMzdnZUNNbHk2cUJ3dVRlVm1NVEJPWmFTbTVsZHZzZkp2MlRReDU1THdhc19pS2xyWlhTakt2VjI5TGpUZkdEWHpjSlRxdDMwd1BMTktWVkk3WDFQbF9WZ2FnNU0taFowTUtDaUZSWWlKeXViS1hCb3pMbUJzSUNTZG45S29EQ2w4eWJGV0ZkQQ?oc=5,Sarah Olney demands action from Thames Water after Richmond Hill pipe burst Richmond Nub News,,
MENTIONED,5,United Utilities,Water,Google News: United Utilities,news.google.com,2026-05-10T05:00:00+00:00,United Utilities' trial technology helps it hit 2030 clean water targets early - News & Star,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPUTNkVmt0a3dCenFBWjlhS2d0cHl2dDBlWml3Y19pSHZqT21TRUxBUnhtLXFCTTN4dzc3VzgtbVV4dzdVYl9Jam5kVzdVb2RpakFwdzRVQlUzUTJscUpoQ3g0OVdfYzBkSmhlelAwSHNKU2ZpUzBoMkpubHhMYzVWOUZyY2lkOV9EbkpWVVZPY0xkQ0VuZm5pMXpleVBjRU1LOEMwQ0VITkRvQQ?oc=5,United Utilities' trial technology helps it hit 2030 clean water targets early News & Star,,
