tier,score,client,sector_guess,source_name,source_domain,published_at,title,url,summary,topics,why_it_matters
DISCARDED,0,Yorkshire Water,Water,Google News: Water UK,news.google.com,2026-06-01T20:05:00+00:00,Water-related deaths in UK heatwave hit 15 after girl dies in North Yorkshire - The Guardian,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOekhOeHo3UlBqZWU0aGoyRkRtNVhvV0ZKVWJrc0kxYWxUNWdpTHRxa2syckRVLVdBNmxnQ2ZuX2xCZk16VGhJcmtRUjI2bEpoazA5NkxzekZZM1UtSS1KMkZlTllTVHByUlJBOFNvaFlTVDRSRC1IcmpKVGVSdzNqdU5hWTVmSlNkRFpkYTJaT2ZVYzBCZi1SaV9IblZoMVc3bTFrRHpNUHpNb0JEZ3BvYk5zYkszSm1BcDNWZ1pDMkh0RkkzNDA2RnZvMjhTWFFsWGxTcA?oc=5,Water-related deaths in UK heatwave hit 15 after girl dies in North Yorkshire The Guardian,,
MENTIONED,12,National Grid | Ofgem,Electricity,Google News: National Grid,news.google.com,2026-06-03T09:46:25+00:00,National Grid submits proposals to Ofgem - Transport + Energy,https://news.google.com/rss/articles/CBMiiwFBVV95cUxOSVdMV0FGUDUwYkNvWUxNNGh0Y09kdVJ2SzdvS3FDQkZiY1ZKWE1aWDU3dC1BNXB1T1NBNlBzMGZ5U1A5dWQtVE12bGNHbkstVm5lYnduQ2RLS2dSNi1RWHFCWlR2SGljcUxFNHlBaVpZalpoeUMxYWJzaG9xSzluTTlUMVpLOFNvb2g4?oc=5,National Grid submits proposals to Ofgem Transport + Energy,,
MENTIONED,10,Informa,Media,Google News: Informa,news.google.com,2026-06-05T12:14:55+00:00,Leading Through Growth: Inside Informa Connect with CEO Andy Mullins - Trade Show News Network,https://news.google.com/rss/articles/CBMivAFBVV95cUxNaU1uMTVkVEdFaFlnMkNORW1qTGFuRkd6dHNWd0JReGZONkxqNXJWeHZ6OHJBemJybHJHTmJMVE43Y3Bnek1OZ2VBemtRZXFLT0YwT3hsWjNyZFluVmNsbThOWTUzQnRYajVJaVdFTnFRaGlCV2stUWN4bU43ZURscndITl9hRTlyLTdob3lnMGQ5SVpOZndSdkQtU2J0bmNpLVl6MHphTUJsOVg5QnBzUGh5akVUNy1kMDcwOQ?oc=5,Leading Through Growth: Inside Informa Connect with CEO Andy Mullins Trade Show News Network,media_and_events,
MENTIONED,10,Virgin Media O2,Telecoms,Google News: Virgin Media O2,news.google.com,2026-06-03T09:20:30+00:00,Spice girl Mel B urges nation to hang up on doomscrolling - Virgin Media O2,https://news.google.com/rss/articles/CBMilgFBVV95cUxPZHp3REk5eURUMXNFdmZPXzBiUUh3QkhHOGY3Qm40NUNoa0owT0YzVlVFTGU2cmhjN3NTOTVUVU1SUWtuVlhEZnMteS0zS2w4Q1lyLS1lQVByYUtnNFBRWFlDd2hJb0ctTS1xdXluVjFRaXBFWktsY0xUb0otWXQwRHV6SUdEMjlnNEE4aDRoZk1oeE1FUmc?oc=5,Spice girl Mel B urges nation to hang up on doomscrolling Virgin Media O2,,
MENTIONED,9,South East Water | CCW,Water,Google News: South East Water,news.google.com,2026-06-04T05:05:13+00:00,South East Water customers share experiences of water supply disruption with CCW - Water Magazine,https://news.google.com/rss/articles/CBMiwgFBVV95cUxPRHR1WkRJNTBDWFJCOGJPak9ReFc2SjlKWkNTd29jNnM2alFpTm11ZXE2YTFFNmxNUHFjdHNsWWN0WW1fSE9ieVR2QmFJV1FCbWRJWWZUb2J0cVVWblowYlE3NnowTW1NYUFQYy0xclVjVjFVUnF4amZteFhNc2ZZc0pDS1dnWmMtek84OUZnYnhRQUpjM3NqcUhwYXcyTGZoQlBCVENfN0lfcUM0S0VBMGtNbXBOc3N4N3BFOEVLbGc5Zw?oc=5,South East Water customers share experiences of water supply disruption with CCW Water Magazine,,
MENTIONED,9,Virgin Media O2,Telecoms,Google News: Virgin Media O2,news.google.com,2026-06-03T01:00:00+00:00,"Virgin Media O2 to help 500,000 low-income households stay connected as part of new ESG strategy - Ethical Marketing News",https://news.google.com/rss/articles/CBMixwFBVV95cUxNOXdZZ1huTE45Uk5DRENoWHQtekw0Z2dXd2pGWi1kdHhLSm9GQ2ZZMmpaWGoxQVNzZzI1ZDFHSEtoNE1kZmlKZ0hwTWpkajJheHkzY0hTcEZfU3BfN2R3a1NKOVFuSUhndzdBNXhxYnZMWjhUdmpSa0J3QlEzbHRoR2w3bHRfdTdKemh5OEtNRlhUWkZZOHhFWktNMnpuaS1rSzN2MkhpRmgtWlZJejVyRlVRR3Uzc3RENmhKNWc1aldUeDdrUEtB?oc=5,"Virgin Media O2 to help 500,000 low-income households stay connected as part of new ESG strategy Ethical Marketing News",sustainability_and_net_zero,
MENTIONED,8,Severn Trent,Water,Google News: Severn Trent,news.google.com,2026-06-01T09:49:35+00:00,Apology After Severn Trent No-Show Causes Traffic Disruption - HFM – Local Radio For Market Harborough,https://news.google.com/rss/articles/CBMikgFBVV95cUxQVXRWdXdoOHRNcHhPOFFjWjRyMG55QlZxNEVmU1NNVnF4bUJsOHBHbFA5N2hMb1hFcEFuZTdfV2E3UWVTWE1xLU85ZW01TkRsYTc1QW54NUdDSFJGck9OaWN5UWdIV2NYOEd3SlhHTmtKc1NrT0FLbkZEUmNKY0VpUFh0ci15QUE3cjBKR0NMZi1HQQ?oc=5,Apology After Severn Trent No-Show Causes Traffic Disruption HFM – Local Radio For Market Harborough,,
MENTIONED,8,Yorkshire Water,Water,Google News: Yorkshire Water,news.google.com,2026-06-04T04:00:00+00:00,Yorkshire Water donates 350 water butts to boost community gardens - Telegraph and Argus,https://news.google.com/rss/articles/CBMiqwFBVV95cUxQVlJtWW5reVBnMzZpUFZyS21QMlZSc3RMSVJ0QXlCWmFNaHY4V2VOTGFMUFl3Vmc4Y0pKU2ZIMmtvRHJpRlppRm5PZXJzdV9TTWx2NTF0VVlNci0wRjZjWXl4dEVwb0tGMVlDaVpqWXlRUXltNWJjODNqNkRNMjMwQmRRcktBMlRMVmZoaDhOYzFPZnNhSUl2LU9ONHV4eVo3X1NvYUFSQkZpWEU?oc=5,Yorkshire Water donates 350 water butts to boost community gardens Telegraph and Argus,,
MENTIONED,8,Yorkshire Water,Water,Google News: Yorkshire Water,news.google.com,2026-06-04T04:00:00+00:00,Yorkshire Water trials enzyme technology to tackle fatbergs - Telegraph and Argus,https://news.google.com/rss/articles/CBMirwFBVV95cUxNUGMwZ3BpdnZoZ2JGdk03WWdqM29PYzJzWEc4TmpwX2pJaXJEN3dNMzlPMGtLMVFSQV9TTGJzdjdNOGFCd1V3S0dfTWVSMmZFU2NyLXBGZ1BBT0RLM2JJMTFUQmFPNHJiLWRMZ0lYVm13UTBic3NKZzdVczRPMnN0OTg2RjJqNXp3MVdQS2YyYl9NVk9GT2VWVUFyUUJxZHctMmU4dUhWRjA5YkFmTURV?oc=5,Yorkshire Water trials enzyme technology to tackle fatbergs Telegraph and Argus,,
MENTIONED,8,South West Water,Water,Google News: South West Water,news.google.com,2026-06-03T12:55:16+00:00,South West Water: No Discharge at Dawlish Beach - Mid Devon Advertiser,https://news.google.com/rss/articles/CBMikgFBVV95cUxQMnB0NUg0YkM3Vi15aE9TMHgzd1FScjg3UDM1Nnh4M0dBdV9icmNQZFNBQi1YenRUenFrNW5SYUExWkVqYU5LNWF6UHZyem81MmFYX295MVFfYl9LRHpud3otLUNsWTFaVWt0TUVJUjhkTG5hdTF1S2dyTDNIZlJ5bk5Ndks3ZENESFREbGVzU1ZNZw?oc=5,South West Water: No Discharge at Dawlish Beach Mid Devon Advertiser,,
