tier,score,client,sector_guess,source_name,source_domain,published_at,title,url,summary,topics,why_it_matters
MENTIONED,10,Severn Trent,Water,Google News: Severn Trent,news.google.com,2026-07-10T14:01:19+00:00,"No hosepipe ban planned for Nottinghamshire, says Severn Trent - West Bridgford Wire",https://news.google.com/rss/articles/CBMilwFBVV95cUxNaEh4V0lHa0JVTXpKaGxtTUptU0EwZnJTNEZZbWNkaS1LcUJESHBRS0lGU0hHRHI3TXdwTzlfZ3V5cEc3YlhUVU9oLUFaUXFtZXBmdm00aDBsZ2E0aWdzM21EaHV6bUx6YlFldVlfVHhBZ1dzX2poWkhsZ0hDZ3BlRWt4ZnVqQUxiVy1UT3pnQ0JtckVFM01V?oc=5,"No hosepipe ban planned for Nottinghamshire, says Severn Trent West Bridgford Wire",media_and_events,
MENTIONED,10,Scottish Water,Water,Google News: Scottish Water,news.google.com,2026-07-09T08:30:00+00:00,Public invited to have say on future Scottish Water charges - Dunoon Observer and Isle of Bute News,https://news.google.com/rss/articles/CBMikAFBVV95cUxNSG44UVFqcm1SMm41WWdQYkdFakdkdlpVODNKMWYxcjlnYVVtMjA2WmVSRDhKRnZLTVFDZEdnamV2MFZoQ2ZBaHZxVjAzeVExRkZ5ZktPSlpwaWhuYWJBWk5IMDV4X3lsb29HN2NkWXdJX0o0VVFuOHVyOW8yNU9pMTVrNFZBWmJ4ZFk0VF84RUo?oc=5,Public invited to have say on future Scottish Water charges Dunoon Observer and Isle of Bute News,media_and_events,
MENTIONED,10,SSEN,Electricity,Google News: SSEN,news.google.com,2026-07-09T11:56:25+00:00,SSEN Transmission lodges plans for Balallan Switching Station - Scottish Construction Now,https://news.google.com/rss/articles/CBMirwFBVV95cUxPVTVjYkpQQUMydzFUd0gtaFR6UWEzcF9Xa0FLZEhEaUEzNldsSDZJZVNhM0tmamxQUHdRYTNZNWxWYUZLdnBvZF84U1RkMVAwbVdncUxuXzV6ZWRkTFc0ZXV1aWwtMnR0Y3ZCSW01TDNkMDBVTmVKcXFZeTFCYTVLaDZPaVlOaTVXckNMZ2JzQTNBTUhHTENjSmhFQmdJTmlUTHdjdDE2c3F6ZzZMOUJJ?oc=5,SSEN Transmission lodges plans for Balallan Switching Station Scottish Construction Now,media_and_events,
MENTIONED,10,Informa,Media,Google News: Informa,news.google.com,2026-07-09T12:45:05+00:00,"Former Thomson Reuters Chief Named Chair-Elect of Informa, Set to Succeed John Rishton in 2027 - Trade Show News Network",https://news.google.com/rss/articles/CBMi1wFBVV95cUxNUWlrQ3FiaUVUdlNRWUFrVFFrQVJBZEdVWGZQOHFLRFF6WVBuVVRDSHh2XzZiNmVoOV9CRmFDZjd0UUlHOV9xbjc0NnNfWi1Sa2FEMTI0V3p1WUM2TzNyT0NDUUowMmtnY1dwR09hNlRPeHM1RTF3eWxOSDgzZkt5NjkwbEFpOFYxZk5zQUEyazF0NWRsYzdUZWJhamd0VDIzR1Y1b3ZpMEhZQTh4TVdvY2FpbUdrdEM3dm44b2tWdlh5YXlKTjNSS1hfUEk3NVFJZmsyZWphUQ?oc=5,"Former Thomson Reuters Chief Named Chair-Elect of Informa, Set to Succeed John Rishton in 2027 Trade Show News Network",media_and_events,+1 other outlet covered this
MENTIONED,9,Thames Water | Ofwat,Water,Google News: Thames Water,news.google.com,2026-07-07T04:30:49+00:00,Ofwat backs Thames Water resilience scheme – but orders major rethink before next stage - Water Magazine,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNb2VEWGJnN0hXalNHaGZaMy1HWWk3VHVlRGljejI3aTlvb1lZaC12QU93Y2NnS1BnZHRkbjlLZllvbVMtOWFaZ3JRWEdxdXQxN3FlS1I4RGZiZHFzRFpOc0lONEZaaS1yWWhXRC1XQWZhODZnRTc2N2c1emN4MWk5bmNXSHN4TnBhRzFwWFJJczh5RGdrdXhLY1p6MXNyd1BnaEhCUDUydzYyUjE3MzItWnhZNzhwMnRYTjc1WmU5bzRGOWR3c3FoSw?oc=5,Ofwat backs Thames Water resilience scheme – but orders major rethink before next stage Water Magazine,,
MENTIONED,9,BT Group | Virgin Media O2,Telecoms,Google News: Virgin Media O2,news.google.com,2026-07-11T08:00:00+00:00,Virgin Media O2 accuses BT of ‘choking off’ broadband competition - The Telegraph,https://news.google.com/rss/articles/CBMipAFBVV95cUxOOFlzRjZPYWE5RWZwb3BxTGRQcTNZLTNtQUsySmd0M2RGZXdCRTMtUldidF92enNFYXE1ZjVsYm9QV2hhbVVwU3FxdW9PdDgyRVFnTWdnNzZtSmNDN3VUMEozTEZvYngyUGRUa2tjQzRBandhV2hzcG54cWhlMFNCeE01QUlDWlE3WmhZTVI0NEMyNTJLQ0FKbnkyYk1YUk5qZXM4UA?oc=5,Virgin Media O2 accuses BT of ‘choking off’ broadband competition The Telegraph,,+1 other outlet covered this
MENTIONED,8,Severn Trent,Water,Google News: Severn Trent,news.google.com,2026-07-12T07:24:15+00:00,Severn Trent issues water-saving warning after highest-ever daily demand - West Bridgford Wire,https://news.google.com/rss/articles/CBMipgFBVV95cUxOVF9xdTExV2FtZWZQNG5JTVdlbXhPWTlJV01UQTFkQjlIMTdWd3duMVdqa1pRYnRrN1pRVFQyTzFJQnNsMkUtRW9Dd2JGQnZMVDVXREM3RzE2SktqUXRKcUkycFM0dlpxUVJsUUtNWDlrQm02V3RNSnIxY050d2VDZ2UtcFE4dFBXZ3ZLSkYzMy1SOTVNSmVOcm9OWE1iVk1QQ0xEOE1n?oc=5,Severn Trent issues water-saving warning after highest-ever daily demand West Bridgford Wire,,+1 other outlet covered this
MENTIONED,8,Severn Trent,Water,Google News: Severn Trent,news.google.com,2026-07-09T07:19:00+00:00,Severn Trent keeps 2027 targets unchanged - Proactive Investors,https://news.google.com/rss/articles/CBMitAFBVV95cUxPRWpsQTY0ME5UUklCWFozN2UxbFZCSjFHNkF1Y2FMeE1NUFpOaHNyZnc4eDF4dTI1aUZKRE9YOWgwenRSOF9SdkRKUzNhR2h3WF85XzZraThOVmNIWGNaREJaUU5YV1RuVWItRVQ5anhzTFNJNkRYcnZVNVJpZE1BemFCVDNRMnNmc0ZhNGxNdm90NXpPajA1NUpubUNFd3k2M3pySUdPVTY1eW5vUks5SzhaQjg?oc=5,Severn Trent keeps 2027 targets unchanged Proactive Investors,,
MENTIONED,8,Severn Trent,Water,Google News: Severn Trent,news.google.com,2026-07-09T07:13:31+00:00,Severn Trent Accelerates FY27 Capital Spending While Strengthening Funding Position (SVT) - Yahoo Finance UK,https://news.google.com/rss/articles/CBMijwFBVV95cUxNZnp0eHJOUVdjZ0hUOEFOUFdoSlZuUTBCbmpJa2FDM1dCVUVhbENqQk1Mc013VVpWZVk5RnotZ3pyRk44Y2c3eEFZNHRTeFJQaklRd3pqSVkwbFA2ak53YjdESkJ0R0xlRnNDa1ZBeEpBMkU3N3BBVkV6N2FpdUxRakZNVnlodGZjN1lRSTdzVQ?oc=5,Severn Trent Accelerates FY27 Capital Spending While Strengthening Funding Position (SVT) Yahoo Finance UK,,
MENTIONED,8,United Utilities,Water,Google News: United Utilities,news.google.com,2026-07-09T14:12:29+00:00,Barhale wins United Utilities storm overflow reduction scheme in Stockport - New Civil Engineer,https://news.google.com/rss/articles/CBMixAFBVV95cUxPbGNGT2VsVWhSNjN0eW1PNld5VnIzZFM3WFdreXl1M0k0S1JrelU1UlQ0bEg1U2FUX19iR0tkSWJBZEtsZGNpVzV5Y1lrcFJuZ05NWjBsVlFuSjVPcWRicDRibDc3cVNjdkdPWF9xbndqQ2FSendyQmVsb3VLaUFHZXUwc2NXOUxDMHVuZy1uX1Nwd1p2MERiWkI4bW13VU92eTZ5SjJ6dmhXekpTZG92bkJ3MU94SEt6eFRpbzFxMjJHbElz?oc=5,Barhale wins United Utilities storm overflow reduction scheme in Stockport New Civil Engineer,,+1 other outlet covered this
